Library	Reads	Sequencing_for_0.05x_cov	Background	Reads_per_Mb	Quality	Mode_insert_size	Mode_GC	Percent_WC	Naive_coverage	Duplication_rate	complexity	coverage	spikiness	entropy
fucci-wt-single-f12-r5-c5_S180_.trimmed.mdup.bam	455010	0.34	1.7	70	acceptable	155	40	12.8	1	9.9	4581274.45915891	0.0111558403355479	0.219025419570125	7.89494154944208
fucci-wt-single-f12-r5-c6_S181_.trimmed.mdup.bam	50024	2	18.6	7	poor	157	39	25	0.1	3	1754634.9728874	0.00122657730150074	0.436903279369033	7.83881523988982
fucci-wt-single-f12-r5-c7_S182_.trimmed.mdup.bam	196238	2	2.3	28	poor	177	38	6.5	0.4	10.8	1804605.75089437	0.00481196918627367	0.236456363933431	7.89767806213439
fucci-wt-single-f12-r6-c1_S183_.trimmed.mdup.bam	355676	0.39	1.5	53	acceptable	158	42	16.2	0.8	9.1	3954659.77441306	0.00872170987486079	0.188574125947964	7.92180541986061
fucci-wt-single-f12-r6-c2_S184_.trimmed.mdup.bam	494998	2	1.9	72	good	154	40	13.6	1.1	10.4	4728616.76710353	0.0121364440124023	0.170208230336951	7.91837411637537
fucci-wt-single-f12-r6-c4_S186_.trimmed.mdup.bam	58210	2	2	9	poor	155	40	4	0.1	3.1	2066291.67030619	0.0014272241714929	0.385330247463059	7.87637333532319
fucci-wt-single-f12-r6-c5_S187_.trimmed.mdup.bam	292700	0.34	2	46	acceptable	156	42	11.1	0.7	6.8	4457219.43916143	0.0071759487697851	0.240548054303981	7.89077323381917
fucci-wt-single-f12-r6-c6_S188_.trimmed.mdup.bam	22554	2	32.8	3	poor	166	41	7.7	0.1	3.1	771473.052921326	0.000553057190371639	0.598743765010161	7.75755490837402
fucci-wt-single-f12-r6-c7_S189_.trimmed.mdup.bam	1065146	0.22	12.1	142	brdu	154	39	31	2.3	12.5	8296248.14050889	0.0261167736819627	0.207865992229309	7.89136720768084
fucci-wt-single-f12-r7-c1_S190_.trimmed.mdup.bam	496330	0.26	3.5	76	good	153	41	15.8	1.1	8.2	6060339.63593151	0.0121698651355101	0.168500266558575	7.9207296199145
fucci-wt-single-f12-r7-c2_S191_.trimmed.mdup.bam	299698	0.37	1.9	45	acceptable	153	42	11.8	0.7	7.6	4032391.27529279	0.00734679432343231	0.201926773886991	7.92101519033837
fucci-wt-single-f12-r7-c3_S192_.trimmed.mdup.bam	146502	2	1.8	24	brdu	155	42	6.3	0.3	5.6	2729477.16758201	0.00359074080577801	0.369325367406568	7.7817102344131
fucci-wt-single-f12-r7-c4_S193_.trimmed.mdup.bam	488746	0.48	5.3	67	brdu	152	46	39.4	1	13.2	3609758.0954223	0.0119823686002754	0.255943943222601	7.87953235116364
fucci-wt-single-f12-r7-c5_S194_.trimmed.mdup.bam	33542	2	1.9	5	poor	153	42	4.2	0.1	2.1	1750105.37928002	0.000822504997974765	0.507620738201628	7.79118607328081
fucci-wt-single-f12-r7-c6_S195_.trimmed.mdup.bam	41702	2	10	6	poor	152	41	10.3	0.1	1.3	3597275.5299673	0.00101531645477721	0.440544659096495	7.85034701165251
fucci-wt-single-f7-r1-c1_S1_.trimmed.mdup.bam	809118	0.23	6.1	116	brdu	152	41	38.1	1.8	11	7222427.00844414	0.0198404645955633	0.176736692765023	7.91518313412732
fucci-wt-single-f7-r1-c4_S4_.trimmed.mdup.bam	1255368	0.2	2.3	183	good	152	41	21.4	2.7	11.6	10564063.7837961	0.0307790747546021	0.128962227114922	7.927996607664
fucci-wt-single-f7-r1-c5_S5_.trimmed.mdup.bam	954124	0.2	10.2	130	brdu	152	41	10.3	2.1	9	10620067.101949	0.0233895473478789	0.23097165147858	7.89637792980735
fucci-wt-single-f7-r1-c7_S7_.trimmed.mdup.bam	1205730	0.21	5.8	151	brdu	153	43	35	2.6	12.8	9150128.88944528	0.0295615147514941	0.22699677244906	7.88105149855327
